"__mode__","CSV:name","CSV:sub:subname","CSV:sub:subsub:subsubname"
"CSV","return-Ramesh","",""
"CSV:sub","","sub-Ramesh-00",""
"CSV:sub:subsub","","","subsub-Ramesh-01"
"CSV:sub:subsub","","","subsub-Ramesh-02"
"CSV:sub","","sub-Ramesh-01",""
"CSV:sub:subsub","","","subsub-Ramesh-11"
"CSV:sub:subsub","","","subsub-Ramesh-12"
"CSV:sub:subsub","","","subsub-Ramesh-13"
"CSV:sub","","sub-Ramesh-02",""
"CSV:sub:subsub","","","subsub-Ramesh-21"
"CSV","return-Ramesh","",""
"CSV:sub","","sub-Ramesh-00",""
"CSV:sub:subsub","","","subsub-Ramesh-01"
"CSV:sub:subsub","","","subsub-Ramesh-02"
